MovieID	IDSubtitleFile	SubLanguageID	IDSubtitle	SubActualCD	SubSumCD	SubFormat	MovieName	MovieYear
29510	1952842990	eng	4162918	1	1	srt	Caramuru - A Invencao do Brasil	2001
29514	1951713013	eng	3162217	1	2	srt	Giliap	1975
29518	1951713045	eng	3162233	1	1	srt	Speed	2007
29520	1951713049	eng	3162236	1	1	srt	Izgnanie	2007
29521	1951713073	eng	3162253	1	2	srt	Super Bowl XXXIX	2005
29522	86008	eng	66616	1	1	srt	Love & Basketball	2000
29523	1951713145	eng	3162293	1	1	srt	Bheja Fry	2007
29524	1951713147	eng	3162295	1	2	srt	Dhol	2007
29525	1951713159	eng	3162304	1	2	srt	Pigs	2007
29526	1951713190	eng	3162329	1	1	srt	"A Bit of Fry and Laurie" Episode #1.6	1989
29527	1951713197	eng	3162336	1	1	srt	Rich Kids	2007
29528	1952447207	eng	3787042	1	1	srt	Seventeen: Teen Town 11 - Anal Traffic Without a License	2002
29529	1952687842	eng	4014055	1	1	srt	Rock Haven	2007
29536	1951713223	eng	3162362	1	1	srt	Schloß, Das	1968
29542	1951898207	eng	3307114	1	1	srt	3 dev adam	1973
29545	1951897873	eng	3306857	1	1	srt	Irina Palm	2007
29547	1951713344	eng	3162465	1	1	srt	Dan in Real Life	2007
29561	1952088469	eng	3473720	1	1	srt	Timber Falls	2007
29562	1952705539	eng	4033718	1	1	srt	Tom and Jerry: A Nutcracker Tale	2007
29563	1951713339	eng	3162461	1	1	srt	Fred Claus	2007
29564	1951713346	eng	3162467	1	1	srt	Sarah Landon and the Paranormal Hour	2007
29565	1951713349	eng	3162470	1	1	srt	"My Name Is Earl" Midnight Bun	2007
29567	1952824902	eng	4146452	1	1	srt	Dark Night of the Soul	2002
29568	1951713396	eng	3162515	1	1	srt	"Planet of the Apes"	1974
29570	1951722793	eng	3169813	1	1	srt	September Dawn	2006
29576	1951713490	eng	3162597	1	1	srt	Ciudad de María	2002
29577	1951713492	eng	3162599	1	2	srt	Ojos que no ven	2003
29580	1951713495	eng	3162601	1	1	srt	Cárcere e a Rua, O	2005
29587	1951713578	eng	3162663	1	1	srt	The Beautiful, the Bloody, and the Bare	1964
29595	1951713689	eng	3162747	1	2	srt	Biyeolhan geori	2006
29596	1951713693	eng	3162749	1	1	srt	Passion Béatrice, La	1987
29597	1951715984	eng	3164497	1	14	srt	"Berlin Alexanderplatz"	1980
29598	1951738952	eng	3181740	1	1	srt	Martian Child	2007
